city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
Colombo,Sri Lanka,LMC,318048,282875,NA,NA,0.97,NA,NA,NA,99,NA,NA,NA,0.03,NA,70.9,4.1,0.9,5,6.6,9.2,NA,3.5,NA,14,NA,NA,NA,NA
Vilnius,Lithuania,HIC,517000,289300,NA,NA,NA,64,NA,NA,NA,NA,36,NA,NA,NA,24.3,12.5,7.2,18,11.8,9.9,NA,4.9,11.2,NA,NA,NA,NA,NA
Kaunas,Lithuania,HIC,292691,130663,NA,NA,NA,87,NA,NA,NA,NA,13,NA,NA,NA,23.25,5.34,3.01,28.87,10.53,19.66,NA,2.09,7.52,20,NA,NA,NA,NA
Liepaja,Latvia,HIC,69443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,8,3,37,6,9,NA,NA,10,NA,NA,NA,NA,NA
Riga,Latvia,HIC,643368,312346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
Rabat,Morocco,LMC,650000,237250,NA,NA,NA,NA,NA,NA,NA,NA,3,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
Tangier,Morocco,LMC,1100000,350000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,66,1,1,7,9,11,NA,NA,5,20,NA,4380000,NA,NA
Beni Mellal,Morocco,LMC,192362,52955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,3,2,17,6,7,NA,NA,NA,4.5,NA,NA,NA,NA
Soldanesti,Moldova,LMC,7500,2037.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,3.5,0.7,60.9,5.5,9.1,NA,NA,NA,NA,NA,9863,NA,NA
Chisinau,Moldova,LMC,789534,282900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,5,2,10,2,5,NA,1,1,20,NA,NA,NA,NA
